ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60609.085056,20.736,0.786,18.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60609.103238,20.826,0.961,17.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.13928,20.558,0.796,22.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.17481,20.127,0.595,32.0,19.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.190261,20.007,0.511,36.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.241113,19.349,0.32,66.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.24293,19.599,0.393,52.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60611.246097,20.401,0.703,25.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60612.616427,20.854,0.965,16.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60612.642248,19.414,0.228,62.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60614.489193,20.462,0.41,24.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60614.498051,20.901,0.605,16.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60615.229187,19.713,0.312,47.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60615.235519,20.432,0.635,24.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60615.266676,20.284,0.5,28.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60616.449842,20.155,0.375,32.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60616.452101,20.294,0.437,28.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60616.458432,20.345,0.481,26.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60618.521625,21.069,0.972,14.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60618.531301,20.536,0.503,22.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60619.22212,20.135,0.324,32.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60619.263834,20.213,0.445,30.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60621.053142,19.988,0.384,37.0,14.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60621.073155,20.064,0.373,34.0,13.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60623.197488,19.017,0.154,90.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60623.204851,20.699,0.803,19.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60623.20803,20.314,0.599,27.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60624.477056,20.974,0.873,15.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60627.17488,19.777,0.672,45.0,30.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60627.178549,20.058,0.86,34.0,30.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60633.017408,19.276,0.545,71.0,39.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60633.071848,19.868,0.851,41.0,35.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60634.500622,20.789,0.885,18.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60634.504302,19.98,0.394,37.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60634.542934,20.479,0.598,23.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60635.251086,20.492,0.801,23.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60635.257012,19.896,0.496,40.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60635.288146,19.082,0.25,84.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60635.654461,19.142,0.71,80.0,57.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.49314,20.34,0.494,26.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.496332,20.797,0.77,17.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.50179,20.377,0.498,26.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.929885,20.397,0.51,25.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.931687,20.618,0.738,21.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.935299,19.089,0.148,84.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60636.957522,20.458,0.578,24.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60639.291327,21.003,0.898,14.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60639.302289,20.321,0.417,27.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60640.401886,21.281,0.875,11.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60640.406901,20.505,0.462,23.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60643.174467,20.859,0.77,16.0,13.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.42214,19.58,0.504,54.0,27.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.428517,19.878,0.478,41.0,19.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.449895,20.596,0.5,21.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.929147,20.109,0.407,33.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.982439,20.027,0.36,35.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60644.986551,20.879,0.819,16.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60645.035114,19.908,0.514,40.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60648.988449,20.426,0.679,24.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60648.992068,19.826,0.333,43.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60650.331597,21.076,0.76,14.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60650.334408,20.774,0.648,18.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60650.33953,20.826,0.735,17.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60651.38675,21.271,0.898,11.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60651.389948,20.245,0.379,29.0,11.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60651.395469,20.742,0.481,18.0,9.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60651.4081,20.333,0.391,27.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60652.438257,20.611,0.58,21.0,12.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60652.908694,20.292,0.494,28.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60652.916117,20.369,0.644,26.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60654.427046,20.277,0.565,28.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60654.463227,20.519,0.62,22.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60654.466894,20.573,0.643,21.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60655.403561,19.899,0.391,40.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60660.439074,19.359,0.455,66.0,30.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60660.449102,19.418,0.444,62.0,28.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60660.930123,18.712,0.385,119.0,46.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60660.944245,18.867,0.309,103.0,32.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60660.9497,19.648,0.744,50.0,37.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60662.498353,20.323,0.726,27.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60662.5154,19.49,0.355,58.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60663.184115,20.311,0.817,27.0,22.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60663.196411,19.397,0.336,63.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60664.915608,20.39,0.605,25.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60664.92448,19.639,0.336,51.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60667.151168,20.476,0.688,23.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60667.154339,20.611,0.766,21.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60667.184552,21.128,0.98,13.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60668.890345,20.486,0.427,23.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60668.900312,20.221,0.335,30.0,10.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60671.144036,19.567,0.287,54.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60671.163167,20.914,0.863,16.0,14.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60672.386909,20.084,0.308,34.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60672.42061,20.469,0.38,24.0,9.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60672.437808,20.738,0.525,18.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60672.441024,20.628,0.45,20.0,9.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60674.376071,20.647,0.59,20.0,12.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60674.418716,20.386,0.406,26.0,10.0,23.9,o
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60544.47621530015,21.12658282173014,0.5213886531079228,122.926883495535,59.0315418565775,26.3507,ZTF_g
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60550.43236109987,21.321670098065454,0.3780683197960629,89.91082046797,31.3081876396715,26.2062,ZTF_r
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60550.48491899995,22.498633279469814,0.9551714661519618,35.5587665751378,31.2826624508092,26.376,ZTF_g
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60555.453576399945,21.59121530953344,0.40316343643566066,70.6372651160356,26.2295412271831,26.2138,ZTF_r
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60555.51853010012,21.472487213667975,0.6168772217253256,90.6828403456939,51.5228085471999,26.3663,ZTF_g
71.31998749999998,8.554302777777778,0.066000,None,2024-09-21 11:27:26.997,60558.44918979984,21.67724537578718,0.4895646140689098,65.8236331629069,29.6802496082695,26.2232,ZTF_r
