# Combined data from 'ATLAS-ZTF' for 'SN 2019cp'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
163.70851, -7.381, c, 58578.418048, -24.549, 16.25, -1, 9, nan, ATLAS-ZTF
163.70851, -7.381, c, 58578.421472, 24.666, 17.75, 0, 9, inf, ATLAS-ZTF
163.70851, -7.381, c, 58578.427229, -21.99, 1.395, -6, 8, nan, ATLAS-ZTF
163.70851, -7.381, c, 58578.430636, -22.758, 2.826, -3, 8, nan, ATLAS-ZTF
163.70851, -7.381, c, 58578.436373, 24.069, 9.0, 1, 8, 23.9, ATLAS-ZTF
163.70851, -7.381, o, 58580.400144, -22.187, 3.357, -5, 16, nan, ATLAS-ZTF
163.70851, -7.381, o, 58580.400605, 22.159, 2.179, 5, 11, 22.15257498915995, ATLAS-ZTF
163.70851, -7.381, o, 58580.409054, 20.143, 0.442, 32, 14, 20.137125054200233, ATLAS-ZTF
163.70851, -7.381, o, 58580.410011, 20.567, 0.6, 22, 13, 20.543943297944484, ATLAS-ZTF
163.70851, -7.381, o, 58580.418982, 21.722, 1.638, 7, 12, 21.787254899964356, ATLAS-ZTF
163.70851, -7.381, c, 58582.39333, 20.794, 0.625, 18, 11, 20.761818737241732, ATLAS-ZTF
163.70851, -7.381, c, 58582.399063, 21.471, 1.167, 9, 11, 21.514393726401686, ATLAS-ZTF
163.70851, -7.381, c, 58582.402361, 21.842, 1.773, 7, 12, 21.787254899964356, ATLAS-ZTF
163.70851, -7.381, c, 58582.402819, -22.023, 1.767, -6, 10, nan, ATLAS-ZTF
163.70851, -7.381, c, 58582.408142, -21.568, 1.245, -9, 11, nan, ATLAS-ZTF
163.70851, -7.381, c, 58582.411486, -23.193, 5.182, -2, 10, nan, ATLAS-ZTF
163.70851, -7.381, c, 58582.411944, 25.641, 53.0, 0, 11, inf, ATLAS-ZTF
163.70851, -7.381, c, 58582.417271, 23.003, 3.533, 2, 8, 23.147425010840045, ATLAS-ZTF
163.70851, -7.381, c, 58582.420634, -21.107, 0.923, -13, 12, nan, ATLAS-ZTF
163.70851, -7.381, c, 58582.421092, 22.858, 4.333, 3, 11, 22.707196863200842, ATLAS-ZTF
163.70851, -7.381, c, 58582.426382, 21.192, 0.889, 12, 11, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, c, 58582.430225, -21.134, 0.729, -13, 9, nan, ATLAS-ZTF
163.70851, -7.381, o, 58584.385207, -23.95, 13.4, -1, 13, nan, ATLAS-ZTF
163.70851, -7.381, o, 58584.394003, -24.519, 24.0, -1, 14, nan, ATLAS-ZTF
163.70851, -7.381, o, 58584.40335, 21.431, 1.38, 10, 13, 21.4, ATLAS-ZTF
163.714326, -7.3808052999999996, zg, 58424.502812500003, 17.5608063, 0.0286142863, 2229.411720610922, 58.755547594867, 25.931282, ATLAS-ZTF
163.71442239999999, -7.3808942000000002, zg, 58427.541203699999, 17.4943695, 0.0274602324, 2695.73874090938, 68.18010856656079, 26.071064, ATLAS-ZTF
