# Combined data from 'ATLAS-ZTF' for 'SN 2024jih'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
249.97834, 37.18252, o, 60477.451153, 19.285, 0.189, 70, 13, 19.287254899964356, ATLAS-ZTF
249.97834, 37.18252, o, 60479.398436, 20.418, 0.691, 25, 17, 20.405149978319905, ATLAS-ZTF
249.97834, 37.18252, o, 60479.401615, 19.601, 0.295, 52, 16, 19.609991640913, ATLAS-ZTF
249.97834, 37.18252, o, 60479.407497, 20.407, 0.56, 25, 14, 20.405149978319905, ATLAS-ZTF
249.97834, 37.18252, o, 60479.443082, 19.829, 0.38, 42, 16, 19.841876774005247, ATLAS-ZTF
249.97834, 37.18252, o, 60480.387182, 20.35, 0.639, 26, 17, 20.362566630072955, ATLAS-ZTF
249.97834, 37.18252, o, 60480.390415, 20.328, 0.636, 27, 17, 20.32159058960253, ATLAS-ZTF
249.97834, 37.18252, o, 60480.426114, 20.519, 0.667, 22, 15, 20.543943297944484, ATLAS-ZTF
249.97834, 37.18252, o, 60481.393785, 19.739, 1.845, 46, 85, 19.743105420796063, ATLAS-ZTF
249.97834, 37.18252, o, 60481.396947, 18.497, 0.186, 145, 27, 18.496579994412564, ATLAS-ZTF
249.97834, 37.18252, o, 60481.397851, 18.985, 0.262, 92, 24, 18.99053043163611, ATLAS-ZTF
249.97834, 37.18252, o, 60481.402448, 21.095, 1.33, 13, 18, 21.115141619232908, ATLAS-ZTF
249.97834, 37.18252, o, 60481.406565, 19.25, 0.358, 72, 26, 19.256668758921826, ATLAS-ZTF
249.97834, 37.18252, o, 60481.407226, 21.605, 2.281, 8, 19, 21.64227503252014, ATLAS-ZTF
249.97834, 37.18252, o, 60481.413229, 20.719, 1.034, 19, 19, 20.703115997617928, ATLAS-ZTF
249.97834, 37.18252, o, 60481.413798, 18.818, 0.862, 108, 93, 18.816440611282623, ATLAS-ZTF
249.97834, 37.18252, o, 60481.416992, 16.297, 1.505, 1100, 1655, 16.296518287104437, ATLAS-ZTF
249.97834, 37.18252, o, 60481.424007, 20.172, 0.57, 31, 18, 20.171595765414317, ATLAS-ZTF
249.97834, 37.18252, o, 60482.400899, 20.058, 0.888, 34, 31, 20.07130270739436, ATLAS-ZTF
249.97834, 37.18252, o, 60482.404066, 23.477, 18.857, 2, 28, 23.147425010840045, ATLAS-ZTF
249.97834, 37.18252, o, 60482.410846, -22.808, 17.75, -3, 48, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60482.420982, 19.184, 0.322, 77, 25, 19.183773187068795, ATLAS-ZTF
249.97834, 37.18252, o, 60483.435932, 20.343, 1.157, 26, 31, 20.362566630072955, ATLAS-ZTF
249.97834, 37.18252, o, 60483.439109, -20.682, 1.242, -19, 24, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60483.445107, 19.688, 0.55, 48, 27, 19.69689690656103, ATLAS-ZTF
249.97834, 37.18252, o, 60483.464809, -23.479, 19.7, -2, 29, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60484.383784, 19.548, 0.309, 55, 17, 19.54909327626439, ATLAS-ZTF
249.97834, 37.18252, o, 60484.387016, 19.71, 0.462, 47, 22, 19.719755355160704, ATLAS-ZTF
249.97834, 37.18252, o, 60484.392563, 19.82, 0.483, 43, 21, 19.816328861051034, ATLAS-ZTF
249.97834, 37.18252, o, 60484.403147, -21.409, 1.948, -10, 19, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60485.381629, 19.313, 0.23, 68, 16, 19.318727718234406, ATLAS-ZTF
249.97834, 37.18252, o, 60485.388892, -22.749, 5.941, -3, 17, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60485.392806, 20.819, 0.917, 17, 16, 20.823877696554312, ATLAS-ZTF
249.97834, 37.18252, o, 60485.403751, 19.608, 0.286, 52, 15, 19.609991640913, ATLAS-ZTF
249.97834, 37.18252, o, 60485.404406, 18.953, 0.19, 95, 18, 18.955690986777878, ATLAS-ZTF
