# Combined data from 'ATLAS-ZTF' for 'SN 2019noh'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
346.41982, 27.66598, o, 58789.323902, 22.405, 3.293, 4, 13, 22.394850021680092, ATLAS-ZTF
346.41982, 27.66598, o, 58789.33435, -22.441, 2.78, -4, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58789.343389, 20.349, 0.462, 26, 12, 20.362566630072955, ATLAS-ZTF
346.41982, 27.66598, o, 58791.190104, -19.571, 2.268, -54, 122, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58791.210282, -20.009, 0.41, -36, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58791.22207, -20.471, 0.519, -24, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58792.189281, 18.109, 1.022, 207, 212, 18.110074136357703, ATLAS-ZTF
346.41982, 27.66598, o, 58792.205349, -19.382, 0.255, -64, 16, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58792.212762, -19.679, 0.314, -49, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58795.186957, 21.472, 6.723, 9, 63, 21.514393726401686, ATLAS-ZTF
346.41982, 27.66598, o, 58795.194502, -23.842, 21.364, -1, 22, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58795.208115, 19.507, 0.411, 57, 24, 19.51031286081877, ATLAS-ZTF
346.41982, 27.66598, o, 58797.328976, -20.423, 0.815, -25, 20, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58797.332842, 20.289, 0.7, 28, 20, 20.28210492164445, ATLAS-ZTF
346.41982, 27.66598, o, 58797.340957, 19.455, 0.298, 60, 18, 19.45462187404089, ATLAS-ZTF
346.41982, 27.66598, o, 58797.351202, -21.071, 1.497, -14, 20, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58801.424052, 21.128, 1.528, 13, 20, 21.115141619232908, ATLAS-ZTF
346.41982, 27.66598, o, 58801.427906, -20.595, 1.144, -21, 24, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58801.433123, 19.805, 0.444, 43, 19, 19.816328861051034, ATLAS-ZTF
346.41982, 27.66598, o, 58801.445728, 20.524, 1.255, 22, 28, 20.543943297944484, ATLAS-ZTF
346.41982, 27.66598, o, 58802.31555, 20.415, 0.565, 25, 14, 20.405149978319905, ATLAS-ZTF
